,Column1,Column2,Column3
1.1,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,evidence in GH
1.2,Does your website and documentation clearly describe the type of user who should use your software?,Yes,evidence in GH
1.3,Do you publish case studies to show how your software has been used by yourself and others?,Yes,evidence in GH
2.1,Is the name of your project/software unique?,Yes,
2.2,Is your project/software name free from trademark violations?,Yes,
3.1,Is your software available as a package that can be deployed without building it?,No,"Its available for previous version but to update for our new version, we need pipy credentials from previous authors which are kept as private"
3.2,Is your software available for free?,Yes,
3.3,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Can download/clone the repository from the github
3.4,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,In Github
4.1,Is your documentation clearly available on your website or within your software?,Yes,In Readme of Github
4.2,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,In Readme of Github
4.3,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,In Readme of Github
4.4,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",No,
4.5,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
4.6,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,Older version of the library doc is present here: https://pypi.org/project/sync-ends/2.1.0/ 
4.7,Do you store your documentation under revision control with your source code?,Yes,In Github
4.8,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,In Github
5.1,Does your software describe how a user can get help with using your software?,Yes,Can submit a bug report via email 
5.2,"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,In Github
5.3,Does your project have an e-mail address or forum that is solely for supporting users?,Yes,In Github
5.4,Are e-mails to your support e-mail address received by more than one person?,Yes,
5.5,Does your project have a ticketing system to manage bug reports and feature requests?,No,
5.6,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",N/A,
6.1,Is your software’s architecture and design modular?,Yes,
6.2,Does your software use an accepted coding standard or convention?,Yes,Code in the github
7.1,"Does your software allow data to be imported and exported using open data formats?*e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",No,
7.2,"Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",No,
81,"Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,"The project is based on Python language, it can be run on mulitple platforms which support/compile Python code and as long as Python is installed"
9.1,Does your software adhere to appropriate accessibility conventions or standards?,Yes,
9.2,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
10.1,Is your source code stored in a repository under revision control?,Yes,In GH
10.2,Is each source code release a snapshot of the repository?,Yes,In GH
10.3,Are releases tagged in the repository?,Yes,In GH
10.4,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,In GH
10.5,Do you back-up your repository?,Yes,In GH
11.1,Do you provide publicly-available instructions for building your software from the source code?,Yes,In GitHub readme
11.2,"Can you build, or package, your software using an automated tool?* e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,Can install with PyPi
11.3,Do you provide publicly-available instructions for deploying your software?,Yes,In GH readme
11.4,Does your documentation list all third-party dependencies?,Yes,"Postman, Slack, Teams and email are mentioned"
11.5,Does your documentation list the version number for all third-party dependencies?,No,
11.6,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,Web addresses and mandatory
11.7,"Can you download dependencies using a dependency management tool or package manager?* e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",No,
11.8,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,5 Test suites
12.1,Do you have an automated test suite for your software?,Yes,
12.2,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
12.3,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Github actions
12.4,Are your test results publicly visible?,Yes,Code Coverage badge and build badge available
12.5,Are all manually-run tests documented?,No,
