,Column1,Column2,Column3,Column (Images)
1.1,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,Github readme has an architecture diagram: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
1.2,Does your website and documentation clearly describe the type of user who should use your software?,Yes,Github Readme describes who should use the software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
1.3,Do you publish case studies to show how your software has been used by yourself and others?,Yes,Github Readme has case studies: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
2.1,Is the name of your project/software unique?,Yes,No other projects named auto_anki found on docker hub,
2.2,Is your project/software name free from trademark violations?,Yes,No trademark found for auto anki,
3.1,Is your software available as a package that can be deployed without building it?,Yes,The software is available as a docker image on docker hub: https://hub.docker.com/r/msills23/auto_anki,
3.2,Is your software available for free?,Yes,The source code is available for free on github: https://github.com/varundeepakgudhe/auto_anki,
3.3,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,The source code is available on github: https://github.com/varundeepakgudhe/auto_anki,
3.4,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,The source code is available on github: https://github.com/varundeepakgudhe/auto_anki,
4.1,Is your documentation clearly available on your website or within your software?,Yes,Github Readme and documentation.md: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
4.2,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,Github Readme has instructions for using the software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
4.3,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,Github Readme has instructions for using the software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
4.4,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,Code documentation added in GH repo: https://github.com/varundeepakgudhe/auto_anki/tree/main/code-documentation   ,https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/code-doco.png
4.5,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,"Apart from error messages in console, messagebox, step by step solution isn't provided",
4.6,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",N/A,Not really a library or package. It's an application/tool!,
4.7,Do you store your documentation under revision control with your source code?,Yes,Github repo has revision control: https://github.com/varundeepakgudhe/auto_anki,
4.8,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,GH repo has release history here: https://github.com/varundeepakgudhe/auto_anki/releases,
5.1,Does your software describe how a user can get help with using your software?,Yes,"Videos, high level flowchart, detailed instructions to application, all provided in ReadMe! https://github.com/varundeepakgudhe/auto_anki#new-features",
5.2,"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,GH readme has guide for users to generate Anki Cards via Youtube and developers have section to locally setup the repo! https://github.com/varundeepakgudhe/auto_anki,
5.3,Does your project have an e-mail address or forum that is solely for supporting users?,Yes,We have discussions page on GH repo: https://github.com/varundeepakgudhe/auto_anki/discussions/,
5.4,Are e-mails to your support e-mail address received by more than one person?,Yes,We have mentioned all 3 collaborators' email addresses. https://github.com/varundeepakgudhe/auto_anki#contact-uscontributors,
5.5,Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Github Issues and Project: https://github.com/varundeepakgudhe/auto_anki/issues | https://github.com/users/smarabattula/projects/2/views/1 ,
5.6,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,Github Issues and Project: https://github.com/varundeepakgudhe/auto_anki/issues | https://github.com/users/smarabattula/projects/2/views/1 ,
6.1,Is your software’s architecture and design modular?,Yes,"Developed different code files for web and tkinter tool, functions and clean folder structure ",https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/files-view.png
6.2,Does your software use an accepted coding standard or convention?,Yes,We are using flake8 as part of our CI/CD pipeline: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/flake8.yml,
7.1,"Does your software allow data to be imported and exported using open data formats?*e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Both,"Our application accepts data in the form of a PDF, Docx and URL which are both open formats. It also accepts data in the form of docx which is a Microsoft domain-specific format. It exports data in the apkg format which is an Anki Flashcard domain-specific format (.apkg).",
7.2,"Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",Yes,"For web implementation, Flask API endpoints are accessed with GET and POST requests.",https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/http.png
81,"Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,Software is compatible with all platforms as we developed it on both Mac and Windows. Also using the docker image the software is compatible with any machine that can run docker: https://hub.docker.com/r/msills23/auto_anki,
9.1,Does your software adhere to appropriate accessibility conventions or standards?,Yes,We have code conduct document that states our standards https://github.com/varundeepakgudhe/auto_anki/blob/main/CODE_OF_CONDUCT.md#our-standards,
9.2,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,We have referred and attributed Atom's guidelines for contributing documentation https://github.com/varundeepakgudhe/auto_anki/blob/main/CONTRIBUTING.md#attribution,
10.1,Is your source code stored in a repository under revision control?,Yes,Github repo has revision control: https://github.com/varundeepakgudhe/auto_anki,
10.2,Is each source code release a snapshot of the repository?,Yes,"Github repository provides static files in releases, which can be considered as snapshots. Example one: https://github.com/varundeepakgudhe/auto_anki/releases/tag/v1.0.0 ",
10.3,Are releases tagged in the repository?,Yes,"GH releases tagged, sample release with tag here https://github.com/varundeepakgudhe/auto_anki/releases/tag/v1.0.0",
10.4,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,"Before branches are merged into main, test cases and format checkers are run using github workflows on the code with the results displayed in the PR: https://github.com/varundeepakgudhe/auto_anki/tree/main/.github/workflows",
10.5,Do you back-up your repository?,Yes,Github is backed up automatically in the cloud: https://github.com/varundeepakgudhe/auto_anki,
11.1,Do you provide publicly-available instructions for building your software from the source code?,Yes,Github Readme has instructions for downloading and building software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
